Date;Euribor_3M
21-oct-16;-0.312
20-oct-16;-0.313
19-oct-16;-0.313
18-oct-16;-0.312
17-oct-16;-0.311
14-oct-16;-0.311
13-oct-16;-0.311
12-oct-16;-0.309
11-oct-16;-0.306
10-oct-16;-0.305
07-oct-16;-0.304
06-oct-16;-0.304
05-oct-16;-0.302
04-oct-16;-0.301
03-oct-16;-0.301
30-sept-16;-0.301
29-sept-16;-0.301
28-sept-16;-0.302
27-sept-16;-0.301
26-sept-16;-0.303
23-sept-16;-0.302
22-sept-16;-0.301
21-sept-16;-0.301
20-sept-16;-0.301
19-sept-16;-0.301
16-sept-16;-0.301
15-sept-16;-0.301
14-sept-16;-0.303
13-sept-16;-0.302
12-sept-16;-0.303
09-sept-16;-0.301
08-sept-16;-0.304
07-sept-16;-0.303
06-sept-16;-0.303
05-sept-16;-0.301
02-sept-16;-0.301
01-sept-16;-0.299
31-Aug-2016;-0.299
30-Aug-2016;-0.299
29-Aug-2016;-0.297
26-Aug-2016;-0.298
25-Aug-2016;-0.298
24-Aug-2016;-0.298
23-Aug-2016;-0.298
22-Aug-2016;-0.299
19-Aug-2016;-0.298
18-Aug-2016;-0.299
17-Aug-2016;-0.298
16-Aug-2016;-0.299
15-Aug-2016;-0.298
12-Aug-2016;-0.299
11-Aug-2016;-0.299
10-Aug-2016;-0.297
09-Aug-2016;-0.298
08-Aug-2016;-0.298
05-Aug-2016;-0.298
04-Aug-2016;-0.298
03-Aug-2016;-0.299
02-Aug-2016;-0.298
01-Aug-2016;-0.297
29-Jul-2016;-0.297
28-Jul-2016;-0.296
27-Jul-2016;-0.298
26-Jul-2016;-0.298
25-Jul-2016;-0.297
22-Jul-2016;-0.297
21-Jul-2016;-0.297
20-Jul-2016;-0.297
19-Jul-2016;-0.295
18-Jul-2016;-0.295
15-Jul-2016;-0.293
14-Jul-2016;-0.295
13-Jul-2016;-0.295
12-Jul-2016;-0.291
11-Jul-2016;-0.292
08-Jul-2016;-0.293
07-Jul-2016;-0.293
06-Jul-2016;-0.293
05-Jul-2016;-0.292
04-Jul-2016;-0.291
01-Jul-2016;-0.29
30-Jun-2016;-0.286
29-Jun-2016;-0.282
28-Jun-2016;-0.281
27-Jun-2016;-0.283
24-Jun-2016;-0.281
23-Jun-2016;-0.269
22-Jun-2016;-0.268
21-Jun-2016;-0.266
20-Jun-2016;-0.266
17-Jun-2016;-0.265
16-Jun-2016;-0.264
15-Jun-2016;-0.262
14-Jun-2016;-0.262
13-Jun-2016;-0.263
10-Jun-2016;-0.263
09-Jun-2016;-0.262
08-Jun-2016;-0.264
07-Jun-2016;-0.261
06-Jun-2016;-0.262
03-Jun-2016;-0.261
02-Jun-2016;-0.262
01-Jun-2016;-0.261
31-May-2016;-0.261
30-May-2016;-0.261
27-May-2016;-0.26
26-May-2016;-0.258
25-May-2016;-0.258
24-May-2016;-0.258
23-May-2016;-0.258
20-May-2016;-0.258
19-May-2016;-0.258
18-May-2016;-0.257
17-May-2016;-0.257
16-May-2016;-0.257
13-May-2016;-0.257
12-May-2016;-0.258
11-May-2016;-0.259
10-May-2016;-0.26
09-May-2016;-0.258
06-May-2016;-0.256
05-May-2016;-0.255
04-May-2016;-0.253
03-May-2016;-0.251
02-May-2016;-0.25
29-Apr-2016;-0.251
28-Apr-2016;-0.252
27-Apr-2016;-0.251
26-Apr-2016;-0.252
25-Apr-2016;-0.25
22-Apr-2016;-0.249
21-Apr-2016;-0.249
20-Apr-2016;-0.249
19-Apr-2016;-0.25
18-Apr-2016;-0.249
15-Apr-2016;-0.249
14-Apr-2016;-0.251
13-Apr-2016;-0.249
12-Apr-2016;-0.249
11-Apr-2016;-0.251
08-Apr-2016;-0.248
07-Apr-2016;-0.247
06-Apr-2016;-0.248
05-Apr-2016;-0.248
04-Apr-2016;-0.246
01-Apr-2016;-0.245
31-mars-16;-0.244
30-mars-16;-0.243
29-mars-16;-0.242
24-mars-16;-0.242
23-mars-16;-0.241
22-mars-16;-0.239
21-mars-16;-0.238
18-mars-16;-0.235
17-mars-16;-0.234
16-mars-16;-0.23
15-mars-16;-0.227
14-mars-16;-0.226
11-mars-16;-0.225
10-mars-16;-0.229
09-mars-16;-0.224
08-mars-16;-0.221
07-mars-16;-0.216
04-mars-16;-0.215
03-mars-16;-0.213
02-mars-16;-0.208
01-mars-16;-0.207
29-Feb-2016;-0.205
26-Feb-2016;-0.202
25-Feb-2016;-0.201
24-Feb-2016;-0.201
23-Feb-2016;-0.2
22-Feb-2016;-0.199
19-Feb-2016;-0.198
18-Feb-2016;-0.195
17-Feb-2016;-0.189
16-Feb-2016;-0.187
15-Feb-2016;-0.183
12-Feb-2016;-0.183
11-Feb-2016;-0.179
10-Feb-2016;-0.175
09-Feb-2016;-0.171
08-Feb-2016;-0.169
05-Feb-2016;-0.167
04-Feb-2016;-0.166
03-Feb-2016;-0.162
02-Feb-2016;-0.161
01-Feb-2016;-0.162
29-janv-16;-0.162
28-janv-16;-0.16
27-janv-16;-0.159
26-janv-16;-0.158
25-janv-16;-0.155
22-janv-16;-0.152
21-janv-16;-0.146
20-janv-16;-0.144
19-janv-16;-0.143
18-janv-16;-0.142
15-janv-16;-0.142
14-janv-16;-0.143
13-janv-16;-0.144
12-janv-16;-0.144
11-janv-16;-0.143
08-janv-16;-0.143
07-janv-16;-0.142
06-janv-16;-0.136
05-janv-16;-0.133
04-janv-16;-0.132
31-Dec-2015;-0.131
30-Dec-2015;-0.132
29-Dec-2015;-0.132
28-Dec-2015;-0.131
24-Dec-2015;-0.131
23-Dec-2015;-0.131
22-Dec-2015;-0.131
21-Dec-2015;-0.13
18-Dec-2015;-0.131
17-Dec-2015;-0.133
16-Dec-2015;-0.133
15-Dec-2015;-0.132
14-Dec-2015;-0.129
11-Dec-2015;-0.128
10-Dec-2015;-0.125
09-Dec-2015;-0.119
08-Dec-2015;-0.116
07-Dec-2015;-0.113
04-Dec-2015;-0.113
03-Dec-2015;-0.124
02-Dec-2015;-0.118
01-Dec-2015;-0.116
30-nov-15;-0.114
27-nov-15;-0.113
26-nov-15;-0.109
25-nov-15;-0.104
24-nov-15;-0.104
23-nov-15;-0.099
20-nov-15;-0.095
19-nov-15;-0.092
18-nov-15;-0.092
17-nov-15;-0.091
16-nov-15;-0.086
13-nov-15;-0.083
12-nov-15;-0.081
11-nov-15;-0.079
10-nov-15;-0.077
09-nov-15;-0.073
06-nov-15;-0.073
05-nov-15;-0.071
04-nov-15;-0.069
03-nov-15;-0.069
02-nov-15;-0.066
30-oct-15;-0.068
29-oct-15;-0.068
28-oct-15;-0.067
27-oct-15;-0.066
26-oct-15;-0.064
23-oct-15;-0.061
22-oct-15;-0.053
21-oct-15;-0.053
20-oct-15;-0.053
19-oct-15;-0.054
16-oct-15;-0.051
15-oct-15;-0.052
14-oct-15;-0.049
13-oct-15;-0.049
12-oct-15;-0.049
09-oct-15;-0.049
08-oct-15;-0.048
07-oct-15;-0.046
06-oct-15;-0.046
05-oct-15;-0.046
02-oct-15;-0.044
01-oct-15;-0.043
30-sept-15;-0.04
29-sept-15;-0.041
28-sept-15;-0.041
25-sept-15;-0.041
24-sept-15;-0.04
23-sept-15;-0.039
22-sept-15;-0.039
21-sept-15;-0.038
18-sept-15;-0.037
17-sept-15;-0.037
16-sept-15;-0.037
15-sept-15;-0.036
14-sept-15;-0.038
11-sept-15;-0.038
10-sept-15;-0.036
09-sept-15;-0.035
08-sept-15;-0.035
07-sept-15;-0.034
04-sept-15;-0.034
03-sept-15;-0.033
02-sept-15;-0.033
01-sept-15;-0.033
31-Aug-2015;-0.033
28-Aug-2015;-0.033
27-Aug-2015;-0.033
26-Aug-2015;-0.033
25-Aug-2015;-0.033
24-Aug-2015;-0.032
21-Aug-2015;-0.031
20-Aug-2015;-0.03
19-Aug-2015;-0.029
18-Aug-2015;-0.028
17-Aug-2015;-0.027
14-Aug-2015;-0.025
13-Aug-2015;-0.024
12-Aug-2015;-0.024
11-Aug-2015;-0.024
10-Aug-2015;-0.024
07-Aug-2015;-0.024
06-Aug-2015;-0.024
05-Aug-2015;-0.024
04-Aug-2015;-0.023
03-Aug-2015;-0.023
31-Jul-2015;-0.023
30-Jul-2015;-0.023
29-Jul-2015;-0.022
28-Jul-2015;-0.021
27-Jul-2015;-0.02
24-Jul-2015;-0.019
23-Jul-2015;-0.019
22-Jul-2015;-0.019
21-Jul-2015;-0.019
20-Jul-2015;-0.019
17-Jul-2015;-0.019
16-Jul-2015;-0.019
15-Jul-2015;-0.019
14-Jul-2015;-0.019
13-Jul-2015;-0.019
10-Jul-2015;-0.018
09-Jul-2015;-0.018
08-Jul-2015;-0.018
07-Jul-2015;-0.018
06-Jul-2015;-0.016
03-Jul-2015;-0.015
02-Jul-2015;-0.015
01-Jul-2015;-0.014
30-Jun-2015;-0.014
29-Jun-2015;-0.016
26-Jun-2015;-0.015
25-Jun-2015;-0.015
24-Jun-2015;-0.014
23-Jun-2015;-0.014
22-Jun-2015;-0.014
19-Jun-2015;-0.014
18-Jun-2015;-0.014
17-Jun-2015;-0.014
16-Jun-2015;-0.014
15-Jun-2015;-0.014
12-Jun-2015;-0.014
11-Jun-2015;-0.014
10-Jun-2015;-0.014
09-Jun-2015;-0.013
08-Jun-2015;-0.013
05-Jun-2015;-0.013
04-Jun-2015;-0.013
03-Jun-2015;-0.014
02-Jun-2015;-0.013
01-Jun-2015;-0.013
29-May-2015;-0.012
28-May-2015;-0.013
27-May-2015;-0.013
26-May-2015;-0.013
25-May-2015;-0.012
22-May-2015;-0.012
21-May-2015;-0.012
20-May-2015;-0.012
19-May-2015;-0.012
18-May-2015;-0.011
15-May-2015;-0.01
14-May-2015;-0.009
13-May-2015;-0.009
12-May-2015;-0.009
11-May-2015;-0.009
08-May-2015;-0.009
07-May-2015;-0.009
06-May-2015;-0.008
05-May-2015;-0.008
04-May-2015;-0.007
30-Apr-2015;-0.005
29-Apr-2015;-0.005
28-Apr-2015;-0.005
27-Apr-2015;-0.002
24-Apr-2015;-0.001
23-Apr-2015;-0.002
22-Apr-2015;-0.002
21-Apr-2015;-0.001
20-Apr-2015;0.001
17-Apr-2015;0.001
16-Apr-2015;0.002
15-Apr-2015;0.004
14-Apr-2015;0.008
13-Apr-2015;0.011
10-Apr-2015;0.012
09-Apr-2015;0.012
08-Apr-2015;0.014
07-Apr-2015;0.016
02-Apr-2015;0.018
01-Apr-2015;0.018
31-mars-15;0.019
30-mars-15;0.018
27-mars-15;0.021
26-mars-15;0.021
25-mars-15;0.021
24-mars-15;0.021
23-mars-15;0.022
20-mars-15;0.021
19-mars-15;0.024
18-mars-15;0.025
17-mars-15;0.025
16-mars-15;0.025
13-mars-15;0.025
12-mars-15;0.027
11-mars-15;0.029
10-mars-15;0.032
09-mars-15;0.035
06-mars-15;0.036
05-mars-15;0.036
04-mars-15;0.038
03-mars-15;0.038
02-mars-15;0.039
27-Feb-2015;0.039
26-Feb-2015;0.04
25-Feb-2015;0.042
24-Feb-2015;0.044
23-Feb-2015;0.045
20-Feb-2015;0.048
19-Feb-2015;0.048
18-Feb-2015;0.048
17-Feb-2015;0.047
16-Feb-2015;0.048
13-Feb-2015;0.048
12-Feb-2015;0.048
11-Feb-2015;0.049
10-Feb-2015;0.05
09-Feb-2015;0.051
06-Feb-2015;0.053
05-Feb-2015;0.051
04-Feb-2015;0.055
03-Feb-2015;0.055
02-Feb-2015;0.055
30-janv-15;0.054
29-janv-15;0.052
28-janv-15;0.053
27-janv-15;0.055
26-janv-15;0.054
23-janv-15;0.053
22-janv-15;0.055
21-janv-15;0.055
20-janv-15;0.055
19-janv-15;0.056
16-janv-15;0.06
15-janv-15;0.069
14-janv-15;0.069
13-janv-15;0.071
12-janv-15;0.071
09-janv-15;0.07
08-janv-15;0.07
07-janv-15;0.07
06-janv-15;0.073
05-janv-15;0.075
02-janv-15;0.076
31-Dec-2014;0.078
30-Dec-2014;0.078
29-Dec-2014;0.079
24-Dec-2014;0.08
23-Dec-2014;0.079
22-Dec-2014;0.081
19-Dec-2014;0.081
18-Dec-2014;0.079
17-Dec-2014;0.081
16-Dec-2014;0.082
15-Dec-2014;0.082
12-Dec-2014;0.082
11-Dec-2014;0.082
10-Dec-2014;0.083
09-Dec-2014;0.082
08-Dec-2014;0.082
05-Dec-2014;0.082
04-Dec-2014;0.082
03-Dec-2014;0.081
02-Dec-2014;0.081
01-Dec-2014;0.082
28-nov-14;0.082
27-nov-14;0.082
26-nov-14;0.082
25-nov-14;0.081
24-nov-14;0.081
21-nov-14;0.081
20-nov-14;0.081
19-nov-14;0.081
18-nov-14;0.081
17-nov-14;0.08
14-nov-14;0.079
13-nov-14;0.078
12-nov-14;0.079
11-nov-14;0.079
10-nov-14;0.08
07-nov-14;0.08
06-nov-14;0.081
05-nov-14;0.081
04-nov-14;0.084
03-nov-14;0.085
31-oct-14;0.086
30-oct-14;0.086
29-oct-14;0.088
28-oct-14;0.088
27-oct-14;0.088
24-oct-14;0.085
23-oct-14;0.085
22-oct-14;0.084
21-oct-14;0.082
20-oct-14;0.081
17-oct-14;0.081
16-oct-14;0.081
15-oct-14;0.081
14-oct-14;0.082
13-oct-14;0.082
10-oct-14;0.079
09-oct-14;0.079
08-oct-14;0.08
07-oct-14;0.079
06-oct-14;0.079
03-oct-14;0.081
02-oct-14;0.081
01-oct-14;0.082
30-sept-14;0.083
29-sept-14;0.083
26-sept-14;0.082
25-sept-14;0.082
24-sept-14;0.083
23-sept-14;0.082
22-sept-14;0.082
19-sept-14;0.083
18-sept-14;0.082
17-sept-14;0.082
16-sept-14;0.081
15-sept-14;0.081
12-sept-14;0.082
11-sept-14;0.084
10-sept-14;0.087
09-sept-14;0.089
08-sept-14;0.094
05-sept-14;0.104
04-sept-14;0.149
03-sept-14;0.15
02-sept-14;0.152
01-sept-14;0.159
29-Aug-2014;0.163
28-Aug-2014;0.167
27-Aug-2014;0.17
26-Aug-2014;0.171
25-Aug-2014;0.175
22-Aug-2014;0.183
21-Aug-2014;0.186
20-Aug-2014;0.187
19-Aug-2014;0.191
18-Aug-2014;0.196
15-Aug-2014;0.197
14-Aug-2014;0.198
13-Aug-2014;0.199
12-Aug-2014;0.201
11-Aug-2014;0.202
08-Aug-2014;0.203
07-Aug-2014;0.205
06-Aug-2014;0.206
05-Aug-2014;0.207
04-Aug-2014;0.208
01-Aug-2014;0.208
31-Jul-2014;0.209
30-Jul-2014;0.209
