Date;Euribor_3M
17-Jul-2017;-0.33
14-Jul-2017;-0.331
13-Jul-2017;-0.331
12-Jul-2017;-0.331
11-Jul-2017;-0.331
10-Jul-2017;-0.331
07-Jul-2017;-0.331
06-Jul-2017;-0.33
05-Jul-2017;-0.331
04-Jul-2017;-0.329
03-Jul-2017;-0.331
30-Jun-2017;-0.331
29-Jun-2017;-0.331
28-Jun-2017;-0.331
27-Jun-2017;-0.331
26-Jun-2017;-0.331
23-Jun-2017;-0.331
22-Jun-2017;-0.33
21-Jun-2017;-0.329
20-Jun-2017;-0.329
19-Jun-2017;-0.329
16-Jun-2017;-0.329
15-Jun-2017;-0.329
14-Jun-2017;-0.331
13-Jun-2017;-0.331
12-Jun-2017;-0.331
09-Jun-2017;-0.331
08-Jun-2017;-0.33
07-Jun-2017;-0.329
06-Jun-2017;-0.329
05-Jun-2017;-0.329
02-Jun-2017;-0.329
01-Jun-2017;-0.329
31-May-2017;-0.329
30-May-2017;-0.329
29-May-2017;-0.329
26-May-2017;-0.329
25-May-2017;-0.329
24-May-2017;-0.329
23-May-2017;-0.33
22-May-2017;-0.329
19-May-2017;-0.331
18-May-2017;-0.331
17-May-2017;-0.331
16-May-2017;-0.331
15-May-2017;-0.33
12-May-2017;-0.329
11-May-2017;-0.329
10-May-2017;-0.329
09-May-2017;-0.329
08-May-2017;-0.329
05-May-2017;-0.329
04-May-2017;-0.329
03-May-2017;-0.329
02-May-2017;-0.329
28-Apr-2017;-0.329
27-Apr-2017;-0.329
26-Apr-2017;-0.329
25-Apr-2017;-0.329
24-Apr-2017;-0.329
21-Apr-2017;-0.331
20-Apr-2017;-0.332
19-Apr-2017;-0.332
18-Apr-2017;-0.331
13-Apr-2017;-0.331
12-Apr-2017;-0.332
11-Apr-2017;-0.332
10-Apr-2017;-0.332
07-Apr-2017;-0.33
06-Apr-2017;-0.33
05-Apr-2017;-0.329
04-Apr-2017;-0.33
03-Apr-2017;-0.33
31-mars-17;-0.329
30-mars-17;-0.33
29-mars-17;-0.33
28-mars-17;-0.33
27-mars-17;-0.33
24-mars-17;-0.33
23-mars-17;-0.33
22-mars-17;-0.33
21-mars-17;-0.329
20-mars-17;-0.329
17-mars-17;-0.329
16-mars-17;-0.329
15-mars-17;-0.329
14-mars-17;-0.33
13-mars-17;-0.33
10-mars-17;-0.329
09-mars-17;-0.329
08-mars-17;-0.329
07-mars-17;-0.328
06-mars-17;-0.329
03-mars-17;-0.329
02-mars-17;-0.329
01-mars-17;-0.329
28-Feb-2017;-0.33
27-Feb-2017;-0.329
24-Feb-2017;-0.329
23-Feb-2017;-0.329
22-Feb-2017;-0.33
21-Feb-2017;-0.329
20-Feb-2017;-0.329
17-Feb-2017;-0.329
16-Feb-2017;-0.328
15-Feb-2017;-0.328
14-Feb-2017;-0.328
13-Feb-2017;-0.329
10-Feb-2017;-0.329
09-Feb-2017;-0.328
08-Feb-2017;-0.328
07-Feb-2017;-0.328
06-Feb-2017;-0.328
03-Feb-2017;-0.328
02-Feb-2017;-0.328
01-Feb-2017;-0.328
31-janv-17;-0.327
30-janv-17;-0.328
27-janv-17;-0.328
26-janv-17;-0.328
25-janv-17;-0.328
24-janv-17;-0.328
23-janv-17;-0.327
20-janv-17;-0.328
19-janv-17;-0.329
18-janv-17;-0.329
17-janv-17;-0.329
16-janv-17;-0.328
13-janv-17;-0.327
12-janv-17;-0.327
11-janv-17;-0.326
10-janv-17;-0.324
09-janv-17;-0.322
06-janv-17;-0.321
05-janv-17;-0.321
04-janv-17;-0.32
03-janv-17;-0.319
02-janv-17;-0.318
30-Dec-2016;-0.319
29-Dec-2016;-0.319
28-Dec-2016;-0.319
27-Dec-2016;-0.318
23-Dec-2016;-0.317
22-Dec-2016;-0.316
21-Dec-2016;-0.315
20-Dec-2016;-0.313
19-Dec-2016;-0.313
16-Dec-2016;-0.314
15-Dec-2016;-0.316
14-Dec-2016;-0.316
13-Dec-2016;-0.316
12-Dec-2016;-0.316
09-Dec-2016;-0.316
08-Dec-2016;-0.318
07-Dec-2016;-0.316
06-Dec-2016;-0.315
05-Dec-2016;-0.313
02-Dec-2016;-0.313
01-Dec-2016;-0.313
30-nov-16;-0.314
29-nov-16;-0.314
28-nov-16;-0.314
25-nov-16;-0.314
24-nov-16;-0.314
23-nov-16;-0.313
22-nov-16;-0.313
21-nov-16;-0.312
18-nov-16;-0.313
17-nov-16;-0.312
16-nov-16;-0.311
15-nov-16;-0.312
14-nov-16;-0.312
11-nov-16;-0.312
10-nov-16;-0.312
09-nov-16;-0.312
08-nov-16;-0.312
07-nov-16;-0.312
04-nov-16;-0.312
03-nov-16;-0.313
02-nov-16;-0.313
01-nov-16;-0.313
31-oct-16;-0.313
28-oct-16;-0.313
27-oct-16;-0.312
26-oct-16;-0.313
25-oct-16;-0.312
24-oct-16;-0.311
